"id","departamento","grupo","descricao","precounitario","code"
1121,"limpeza","roupas","lava roupas ariel líquido concentrado 1,2 litros","38.90","lr006"
1122,"limpeza","roupas","lava roupas ariel líquido concentrado toque de downy 1,2 litros","38.90","lr010"
1123,"limpeza","roupas","lava roupas brilhante limpeza total 1,6kg","29.95","lr020"
1124,"limpeza","roupas","lava roupas brilhante limpeza total 800g","17.79","lr014"
1125,"limpeza","roupas","lava roupas brilhante líquido 3 litros","41.99","lr027"
1126,"limpeza","roupas","lava roupas girando sol coco 1 litro","12.79","lr024"
1127,"limpeza","roupas","lava roupas jimo baby com glicerina 500ml","12.95","lr018"
1128,"limpeza","roupas","lava roupas optical wash rosa floral girando sol 800g","7.99","lr034"
1129,"mercearia","doces e sobremesas","leite condensado de soja soymilke 330g","17.59","mds007"
1130,"mercearia","ingredientes","leite condensado de soja soymilke 330g","17.59","mi003"
1131,"mercearia","alimentos especiais","leite condensado doce amor diet 220g","28.90","mae021"
1132,"mercearia","doces e sobremesas","leite condensado doce amor diet 220g","28.90","mds019"
1133,"mercearia","ingredientes","leite condensado doce amor diet 220g","28.90","mi005"
1134,"higiene e beleza","corpo","leite de colônia final fantastic 100ml","8.60","hbc005"
1135,"higiene e beleza","corpo","leite de colônia toque de carinho 100ml","6.49","hbc004"
1136,"higiene e beleza","corpo","leite de colônia toque de carinho 100ml","8.60","hbc028"
1137,"higiene e beleza","corpo","leite de colônia tradicional 100ml","7.50","hbc025"
1138,"frios e laticínios","leite","leite desnatado molico 1 litro","7.69","fll020"
1139,"frios e laticínios","leite","leite elegê baixa lactose 1 litro","5.29","fll035"
1140,"frios e laticínios","leite","leite elegê desnatado 0% 1 litro","4.89","fll044"
1141,"frios e laticínios","leite","leite elegê desnatado caixa com 12 unidades","58.68","fll039"
1142,"frios e laticínios","leite","leite elegê integral 3% 1 litro","4.89","fll025"
1143,"frios e laticínios","leite","leite elegê integral caixa com 12 unidades 1 litro","58.68","fll026"
1144,"frios e laticínios","leite","leite elegê semidesnatado 1% 1 litro","4.89","fll028"
1145,"frios e laticínios","leite","leite elegê zero lactose semidesnatado 1 litro","5.29","fll022"
1146,"mercearia","matinais","leite em pó nan comfor 1 400g","42.50","mm027"
1147,"frios e laticínios","leite","leite em pó ninho zero lactose 380g","24.95","fll001"
1148,"higiene e beleza","bebê e infantil","leite em pó ninho zero lactose 380g","24.95","hbbi026"
1149,"frios e laticínios","leite","leite em pó supra soy sem lactose 300g","29.59","fll033"
1150,"frios e laticínios","lácteos","leite fermentado actimel original 600g","18.95","fll059"
1151,"frios e laticínios","leite","leite integral elegê pet 1 litro","4.89","fll027"
1152,"frios e laticínios","leite","leite ninho integral 1 litro","7.69","fll018"
1153,"frios e laticínios","leite","leite ninho levinho zero lactose 1 litro","7.99","fll016"
1154,"frios e laticínios","leite","leite ninho semi desnatado levinho 1 litro","7.69","fll015"
1155,"frios e laticínios","leite","leite ninho zero lactose 1 litro","7.99","fll006"
1156,"frios e laticínios","leite","leite piracanjuba semidesnatado zero lactose 1 litro","6.99","fll011"
1157,"frios e laticínios","leite","leite santa clara desnatado 1 litro","5.19","fll040"
1158,"frios e laticínios","leite","leite santa clara desnatado caixa com 12 unidades 1 litro","62.28","fll036"
1159,"frios e laticínios","leite","leite santa clara integral 1 litro","5.19","fll017"
1160,"frios e laticínios","leite","leite santa clara semi desnatado 1 litro","5.19","fll012"
1161,"frios e laticínios","leite","leite santa clara zero lactose uht 1 litro","5.39","fll019"
1162,"frios e laticínios","leite","leite semidesnatado elegê pet 1 litro","4.89","fll042"
1163,"higiene e beleza","higiene","lenço kleenex box kids escolar com 50 unidades","8.20","hbh011"
1164,"higiene e beleza","higiene","lenços de limpeza 3 em 1 nivea 25 unidades","26.49","hbh029"
1165,"higiene e beleza","mulher","lenços de limpeza 3 em 1 nivea 25 unidades","26.49","hbm021"
1166,"higiene e beleza","bebê e infantil","lenços umidecidos cuidado de bebê pampers 48 unidades","21.95","hbbi039"
1167,"higiene e beleza","higiene","lenços umidecidos demaquilante cottonbaby 20 unidades","14.99","hbh001"
1168,"higiene e beleza","mulher","lenços umidecidos demaquilante cottonbaby 20 unidades","14.99","hbm001"
1169,"higiene e beleza","mulher","lenços umidecidos hydra derm colágeno vini lady 25 unidades","7.90","hbm032"
1170,"higiene e beleza","higiene","lenços umidecidos hydra derm vitamina c vini lady 25 unidades","8.99","hbh018"
1171,"higiene e beleza","mulher","lenços umidecidos hydra derm vitamina c vini lady 25 unidades","8.99","hbm013"
1172,"higiene e beleza","higiene","lenços umidecidos íntimos intimus 16 unidades","14.50","hbh010"
1173,"higiene e beleza","mulher","lenços umidecidos íntimos intimus 16 unidades","14.50","hbm009"
1174,"higiene e beleza","bebê e infantil","lenços umidecidos limpeza e suavidade johnsons 44 unidades","23.90","hbbi007"
1175,"higiene e beleza","higiene","lenços umidecidos limpeza e suavidade johnsons 44 unidades","23.90","hbh005"
1176,"higiene e beleza","bebê e infantil","lenços umidecidos puro e natural huggies 48 unidades","22.95","hbbi037"
1177,"higiene e beleza","higiene","lenços umidecidos puro e natural huggies 48 unidades","22.95","hbh037"
1178,"higiene e beleza","bebê e infantil","lenços umidecidos recém nascido johnsons 48 unidades","29.95","hbbi010"
1179,"higiene e beleza","higiene","lenços umidecidos recém nascido johnsons 48 unidades","29.95","hbh014"
1180,"higiene e beleza","higiene","lenços umidecidos supreme care huggies 48 unidades","22.95","hbh012"
1181,"higiene e beleza","bebê e infantil","lenços umidecidos tripla proteção huggies 96 unidades","17.90","hbbi036"
1182,"higiene e beleza","higiene","lenços umidecidos tripla proteção huggies 96 unidades","17.90","hbh034"
1183,"mercearia","grãos e farináceos","lentilha yoki 500g","11.50","mgf018"
1184,"bebidas","cervejas","leopoldina india pale ale IPA 500ml","21.95","bc030"
1185,"bebidas","destilados","licor creme leite weber haus 500ml","74.90","bd001"
1186,"bebidas","destilados","licor espanhol diego zamora 43 700ml","224.90","bd032"
1187,"bebidas","destilados","licor stock creme de cassis 720ml","69.90","bd037"
1188,"bebidas","destilados","licor stock de café 720ml","69.90","bd016"
1189,"hortifruti","frutas","limão siciliano 140g","2.83","hf006"
1190,"hortifruti","frutas","limão taiti 85g","0.66","hf019"
1191,"limpeza","cozinha","limpa forno diabo verde 250g","11.90","lcz064"
1192,"limpeza","casa","limpa vidros veja vidrex cristal 500ml","26.50","lc007"
1193,"limpeza","casa","limpa vidros veja vidrex tradicional 20% desconto 500ml","13.29","lc064"
1194,"limpeza","cozinha","limpador cif desengordurante 500ml","10.55","lcz068"
1195,"limpeza","banheiro","limpador de banheiro veja x-14 tira limo com 30% desconto 500ml","28.50","lb039"
1196,"limpeza","banheiro","limpador mr. músculo banheiro total refil sachê  30% desconto 400ml","17.95","lb016"
1197,"limpeza","cozinha","limpador mr. Músculo vidros 500 ml","32.95","lcz001"
1198,"limpeza","casa","limpador perfumado de lima-limão coala 120ml","15.95","lc041"
1199,"limpeza","banheiro","limpador spray antibac veja banheiro oxi 500ml","29.90","lb019"
1200,"limpeza","banheiro","limpador spray antibac veja banheiro oxi 500ml refil","29.59","lb011"
1201,"limpeza","casa","limpador veja multiuso campestre desconto 10% 500ml","7.79","lc066"
1202,"limpeza","cozinha","limpador veja multiuso campestre desconto 10% 500ml","7.79","lcz044"
1203,"limpeza","casa","limpador veja multiuso original 10% desconto 500ml","7.79","lc048"
1204,"limpeza","casa","limpador veja perfumes flores do mediterrâneo 500ml","7.95","lc058"
1205,"limpeza","casa","limpador veja x-14 tira limo refil 500ml","29.59","lc050"
1206,"carnes","churrasco","linguiça calabresa cozida defumada sadia 500g","15.99","cc043"
1207,"carnes","linguiças e salsichas","linguiça calabresa cozida defumada sadia 500g","15.99","cls017"
1208,"carnes","churrasco","linguiça calabresa defumada santa clara 300g","6.27","cc044"
1209,"carnes","linguiças e salsichas","linguiça calabresa defumada santa clara 300g","6.27","cls018"
1210,"carnes","churrasco","linguiça calabresa forte bola 400g","19.80","cc011"
1211,"carnes","suinas","linguiça calabresa forte bola 400g","19.80","cs010"
1212,"carnes","churrasco","linguiça calabresa média bola 450g","22.27","cc022"
1213,"carnes","suinas","linguiça calabresa média bola 450g","22.27","cs017"
1214,"carnes","linguiças e salsichas","linguiça calabresa perdigão 400g","22.50","cls001"
1215,"carnes","suinas","linguiça calabresa perdigão 400g","22.50","cs004"
1216,"carnes","churrasco","linguiça camponesa bola 450g","22.27","cc013"
1217,"carnes","suinas","linguiça camponesa bola 450g","22.27","cs012"
1218,"carnes","linguiças e salsichas","linguiça de frango perdigão na brasa 1kg","31.39","cls023"
1219,"carnes","linguiças e salsichas","linguiça de frango resfriada 600g","17.99","cls011"
1220,"carnes","bovina","linguiça de pernil suíno majestade 750g","28.11","cb033"
1221,"carnes","suinas","linguiça de pernil suíno majestade 750g","28.11","cs031"
1222,"carnes","churrasco","linguiça de pernil suíno sabor limão siciliano ceratti 400g","29.90","cc023"
1223,"carnes","linguiças e salsichas","linguiça de pernil suíno sabor limão siciliano ceratti 400g","29.90","cls010"
1224,"carnes","suinas","linguiça de pernil suíno sabor limão siciliano ceratti 400g","29.90","cs018"
1225,"carnes","churrasco","linguiça defumada borrússia com queijo 300g","17.00","cc045"
1226,"carnes","linguiças e salsichas","linguiça defumada borrússia com queijo 300g","17.00","cls019"
1227,"carnes","suinas","linguiça defumada borrússia com queijo 300g","17.00","cs032"
1228,"carnes","churrasco","linguiça defumada fina santo andré 260g","15.88","cc015"
1229,"carnes","linguiças e salsichas","linguiça defumada fina santo andré 260g","15.88","cls007"
1230,"carnes","churrasco","linguiça defumada santo andré 150g","8.77","cc017"
1231,"carnes","linguiças e salsichas","linguiça defumada santo andré 150g","8.77","cls008"
1232,"carnes","churrasco","linguiça defumada santo andré 350g","22.49","cc018"
1233,"carnes","linguiças e salsichas","linguiça defumada santo andré 350g","22.49","cls009"
1234,"carnes","linguiças e salsichas","linguiça fininha defumada excelsior 240g","8.50","cls020"
1235,"carnes","suinas","linguiça fininha defumada excelsior 240g","8.50","cs033"
1236,"carnes","churrasco","linguiça fininha defumada perdigão 240g","12.99","cc041"
1237,"carnes","linguiças e salsichas","linguiça fininha defumada perdigão 240g","12.99","cls014"
1238,"carnes","linguiças e salsichas","linguiça fininha excelsior 200g","8.00","cls005"
1239,"carnes","churrasco","linguiça jibóia forte borrússia 540g","12.41","cc024"
1240,"carnes","linguiças e salsichas","linguiça jibóia forte borrússia 540g","12.41","cls012"
1241,"carnes","suinas","linguiça jibóia forte borrússia 540g","12.41","cs019"
1242,"carnes","churrasco","linguiça jibóia suave borrússia 540g","12.41","cc036"
1243,"carnes","linguiças e salsichas","linguiça jibóia suave borrússia 540g","12.41","cls013"
1244,"carnes","suinas","linguiça jibóia suave borrússia 540g","12.41","cs024"
1245,"carnes","churrasco","linguiça mista cozida defumada fininha sadia 240g","13.19","cc042"
1246,"carnes","linguiças e salsichas","linguiça mista cozida defumada fininha sadia 240g","13.19","cls015"
1247,"carnes","churrasco","linguiça suína borrússia (salsichão) 800g","27.22","cc029"
1248,"carnes","suinas","linguiça suína borrússia (salsichão) 800g","27.22","cs022"
1249,"carnes","linguiças e salsichas","linguiça toscana ki-fa dália 250g","10.72","cls016"
1250,"carnes","linguiças e salsichas","linguiça toscana na brasa perdigão com pimenta biquinho 600g","31.90","cls022"
1251,"carnes","suinas","linguiça toscana na brasa perdigão com pimenta biquinho 600g","31.90","cs037"
1252,"carnes","linguiças e salsichas","linguiça toscana na brasa perdigão com queijo coalho 600g","31.90","cls021"
1253,"carnes","suinas","linguiça toscana na brasa perdigão com queijo coalho 600g","31.90","cs036"
1254,"carnes","linguiças e salsichas","linguiça toscana perdigão na brasa 1kg","33.50","cls003"
1255,"carnes","suinas","linguiça toscana perdigão na brasa 1kg","33.50","cs006"
1256,"carnes","linguiças e salsichas","linguiça vegetal fazenda futuro 250g","28.90","cls006"
1257,"carnes","suinas","linguiça vegetal fazenda futuro 250g","28.90","cs011"
1258,"mercearia","grãos e farináceos","linhaça dourada leste 200g","8.39","mgf033"
1259,"higiene e beleza","mãos e pés","lixa de pé caprichosa rala calo profundo","6.90","hbmp003"
1260,"higiene e beleza","mãos e pés","lixa de unha caprichosa 6 unidades","3.39","hbmp007"
1261,"higiene e beleza","homem","loção pós-barba QOD 80g","34.90","hbhm001"
1262,"carnes","suinas","lombo suíno borússia 500g","14.55","cs008"
1263,"hortifruti","temperos frescos","louro gauer unidade","5.50","htf009"
1264,"limpeza","cozinha","luva esfrebom multiuso amarela G unidade","10.00","lcz016"
1265,"limpeza","cozinha","luva esfrebom multiuso amarela P unidade","10.00","lcz045"
1266,"limpeza","cozinha","luva para cozinha scotch-brite grande unidade","17.50","lcz074"
1267,"limpeza","cozinha","luva scotch brite multiuso tamanho G/L unidade","18.20","lcz063"
1268,"limpeza","cozinha","luva scotch brite multiuso tamanho M unidade","18.20","lcz002"
1269,"hortifruti","frutas","maça argentina 230g","4.18","hf005"
1270,"hortifruti","frutas","maça fuji 200g","4.48","hf023"
1271,"hortifruti","frutas","maça gala 160g","3.15","hf021"
1272,"mercearia","matinais","maçã seca para chá barão 100g","6.30","mm029"
1273,"hortifruti","frutas","maça verde 250g","5.36","hf016"
1274,"congelados","pratos prontos","macarrão congelado di paolo 440g","12.50","cpp006"
1275,"mercearia","massas e molhos","macarrão instantâneo sabor caldinho de feijão 70g","2.39","mmm003"
1276,"mercearia","massas e molhos","macarrão instantâneo sabor canja de galinha nissin 70g","2.79","mmm023"
1277,"mercearia","massas e molhos","macarrão instantâneo sabor frango grelhado nissin 70g","2.49","mmm022"
1278,"mercearia","temperos e condimentos","maionese oderich light sache 200g","2.60","mtc021"
1279,"mercearia","temperos e condimentos","maionese tradicional hemmer 700g","18.50","mtc002"
1280,"mercearia","temperos e condimentos","maionese tradicional sache hemmer 200g","6.90","mtc015"
1281,"hortifruti","frutas","mamão formosa 900g","9.35","hf004"
1282,"hortifruti","frutas","mamão papaia 500g","6.95","hf012"
1283,"carnes","bovina","maminha bovina 1kg","71.39","cb017"
1284,"carnes","churrasco","maminha bovina 1kg","71.39","cc025"
1285,"congelados","petiscos e empanados","mandioca petisquete marchi 300g","11.75","cpe008"
1286,"congelados","legumes","mandioquinha marchi 300g","13.50","cl005"
1287,"hortifruti","legumes","mandioquinha tamanduá 500g","13.98","hl003"
1288,"hortifruti","temperos frescos","manjericão gauer unidade","5.00","htf015"
1289,"hortifruti","temperos frescos","manjerona gauer unidade","3.69","htf014"
1290,"frios e laticínios","manteiga e margarina","manteiga aviação com sal 200g","16.95","flmm010"
1291,"frios e laticínios","manteiga e margarina","manteiga aviação lata 200g","21.90","flmm002"
1292,"frios e laticínios","manteiga e margarina","manteiga aviação sem sal 200g","16.65","flmm003"
1293,"frios e laticínios","manteiga e margarina","manteiga com sal président 200g","13.99","flmm013"
1294,"frios e laticínios","manteiga e margarina","manteiga de coco com sal qualicoco 200g","16.50","flmm006"
1295,"frios e laticínios","manteiga e margarina","manteiga de coco sem sal qualicoco 200g","16.50","flmm009"
1296,"frios e laticínios","manteiga e margarina","manteiga elegê extra com sal 200g","12.99","flmm017"
1297,"frios e laticínios","manteiga e margarina","manteiga elegê extra sem sal 200g","12.99","flmm018"
1298,"frios e laticínios","manteiga e margarina","manteiga ghee tradicional dom afonso 200g","29.90","flmm024"
1299,"frios e laticínios","manteiga e margarina","manteiga sem sal président 200g","13.99","flmm007"
1300,"frios e laticínios","manteiga e margarina","manteiga vegetal veghee sem sal vegano sem glúten 200g","31.99","flmm001"
1301,"hortifruti","frutas","maracujá 200g","9.57","hf008"
1302,"frios e laticínios","manteiga e margarina","margarina doriana com sal 250g","5.50","flmm014"
1303,"frios e laticínios","manteiga e margarina","margarina doriana com sal 500g","9.90","flmm028"
1304,"frios e laticínios","manteiga e margarina","margarina doriana sem sal 250g","5.50","flmm004"
1305,"frios e laticínios","manteiga e margarina","margarina doriana sem sal 500g","9.99","flmm012"
1306,"frios e laticínios","manteiga e margarina","margarina primor forno/fogão 400g","11.99","flmm019"
1307,"frios e laticínios","manteiga e margarina","margarina qualy aera com sal 250g","6.90","flmm020"
1308,"frios e laticínios","manteiga e margarina","margarina qualy aera com sal 500g","11.99","flmm026"
1309,"frios e laticínios","manteiga e margarina","margarina qualy com sal 250g","6.90","flmm016"
1310,"frios e laticínios","manteiga e margarina","margarina qualy com sal 500g","11.99","flmm027"
1311,"frios e laticínios","manteiga e margarina","margarina qualy light com sal 250g","6.50","flmm029"
1312,"frios e laticínios","manteiga e margarina","margarina qualy light com sal 500g","11.99","flmm025"
1313,"frios e laticínios","manteiga e margarina","margarina qualy sem sal 250g","6.90","flmm011"
1314,"frios e laticínios","manteiga e margarina","margarina qualy sem sal 500g","11.99","flmm015"
1315,"frios e laticínios","manteiga e margarina","margarina qualy vita com sal 250g","6.50","flmm023"
1316,"frios e laticínios","manteiga e margarina","margarina qualy vita com sal 500g","11.49","flmm021"
1317,"frios e laticínios","manteiga e margarina","margarina qualy vita sem sal 500g","11.49","flmm022"
1318,"mercearia","doces e sobremesas","mariola dacolonia 300g","12.95","mds005"
1319,"mercearia","massas e molhos","massa bichinos bambini paganini 250g","12.99","mmm037"
1320,"mercearia","massas e molhos","massa conchiglioni paganini 500g","18.95","mmm028"
1321,"frios e laticínios","massas frescas","massa de lasanha famigliare 500g","7.30","flmf015"
1322,"mercearia","massas e molhos","massa de lasanha paganini 200g","9.50","mmm030"
1323,"mercearia","temperos e condimentos","massa de soja shiro misso 500g","22.90","mtc016"
1324,"frios e laticínios","massas frescas","massa famigliare pastel disco médio 200g","4.40","flmf014"
1325,"frios e laticínios","massas frescas","massa famigliare pastel disco pequeno 200g","4.40","flmf007"
1326,"frios e laticínios","massas frescas","massa famigliare pastel rolo 1kg","13.50","flmf004"
1327,"frios e laticínios","massas frescas","massa famigliare pizza 150g","4.99","flmf008"
1328,"mercearia","massas e molhos","massa fettuccine rustichella dabruzzo 500g","32.95","mmm004"
1329,"mercearia","massas e molhos","massa isabela lasanha festonada 500g","12.00","mmm033"
1330,"mercearia","massas e molhos","massa linguine al nero di seppia rustichella dabruzzo 500g","44.90","mmm005"
1331,"mercearia","alimentos especiais","massa mosmann caseira integral 500g","10.50","mae067"
1332,"mercearia","alimentos especiais","massa mosmann espaguete integral 500g","8.90","mae071"
1333,"mercearia","massas e molhos","massa mosmann espaguete integral 500g","8.90","mmm036"
1334,"mercearia","alimentos especiais","massa mosmann integral sem glúten 300g","13.50","mae066"
1335,"mercearia","massas e molhos","massa mosmann parafuso com vegetais e feijão 500g","8.90","mmm029"
1336,"mercearia","alimentos especiais","massa mosmann parafuso integral 500g","7.20","mae068"
1337,"mercearia","massas e molhos","massa mosmann parafuso integral 500g","7.20","mmm035"
1338,"frios e laticínios","massas frescas","massa mosmann semola canelloni 200g","16.90","flmf003"
1339,"mercearia","massas e molhos","massa orquídea grano duro penne 500g","7.70","mmm015"
1340,"mercearia","massas e molhos","massa paganini fusilli 500g","10.95","mmm032"
1341,"mercearia","massas e molhos","massa paganini rigatoni 500g","10.99","mmm026"
1342,"frios e laticínios","massas frescas","massa para pastel famigliare DG 500g","7.30","flmf012"
1343,"frios e laticínios","massas frescas","massa para pastel famigliare DL 500g","7.30","flmf021"
1344,"mercearia","alimentos especiais","massa parafuso integral com proteína de ervilha mosmann 300g","18.95","mae028"
1345,"mercearia","massas e molhos","massa parafuso integral com proteína de ervilha mosmann 300g","18.95","mmm020"
1346,"mercearia","massas e molhos","massa penne rigate integral paganini 500g","13.95","mmm013"
1347,"mercearia","massas e molhos","massa penne rigate rustichella dabruzzo 500g","29.95","mmm007"
1348,"mercearia","massas e molhos","massa rigatoni rustichella dabruzzo 500g","29.90","mmm008"
1349,"mercearia","massas e molhos","massa spaghetti 5 cereali barilla 500g","16.95","mmm024"
1350,"frios e laticínios","massas frescas","massa spaghetti integrale paganini 500g","14.95","flmf001"
1351,"mercearia","massas e molhos","massa spaghetti rustichella dabruzzo 500g","28.49","mmm006"
1352,"carnes","bovina","medalhão filé mignon 500g","55.19","cb004"
1353,"carnes","frango","meio das asas de frango resfriado agrosul 700g","26.98","cf017"
1354,"hortifruti","frutas","melancia sem semente 1kg","25.05","hf029"
1355,"hortifruti","frutas","melão espanhol 1kg","13.24","hf025"
1356,"hortifruti","frutas","melão Gália 850g","14.69","hf002"
1357,"hortifruti","frutas","melão orange 900g","22.49","hf017"
1358,"mercearia","bomboniere","mentos pure fresh mint 6g","1.50","mb039"
1359,"mercearia","bomboniere","mentos pure fruit tutti frutti 6g","1.50","mb040"
1360,"mercearia","bomboniere","mentos pure witergreen 6g","1.50","mb041"
1361,"mercearia","alimentos especiais","merenguinho doce amor 2 whey zero açúcar","12.95","mae023"
1362,"mercearia","doces e sobremesas","merenguinho doce amor 2 whey zero açúcar","12.95","mds024"
1363,"congelados","carnes aves e peixes","mexilhão congelado seara 400g","31.49","ccap022"
1364,"carnes","peixes e crustáceos","mexilhão congelado seara 400g","31.49","cpc019"
1365,"congelados","legumes","milho congelado demarchi 300g","9.30","cl002"
1366,"mercearia","grãos e farináceos","milho de pipoca yoki premium 500g","7.99","mgf019"
1367,"mercearia","alimentos especiais","mini bombom flormel coco zero 70g","12.35","mae030"
1368,"congelados","petiscos e empanados","mini chicken minions cenoura 300g","14.30","cpe033"
1369,"congelados","petiscos e empanados","mini chicken minions tradicional 300g","14.30","cpe034"
1370,"congelados","petiscos e empanados","mini chicken queijo 275g perdigão","12.50","cpe007"
1371,"congelados","petiscos e empanados","mini chicken tradicional 275g","12.50","cpe021"
1372,"mercearia","alimentos especiais","mini coxinha frango fit feel joy 300g","25.95","mae014"
1373,"padaria","salgados","mini coxinha frango fit feel joy 300g","25.95","ps001"
1374,"padaria","salgados","mini folhados de calabresa 150g","9.52","ps007"
1375,"padaria","salgados","mini folhados de chocolate 150g","9.52","ps009"
1376,"padaria","salgados","mini folhados de frango 150g","9.52","ps006"
1377,"padaria","salgados","mini folhados de palmito 150g","9.52","ps008"
1378,"hortifruti","frutas","mirtilo 125g","14.99","hf010"
1379,"mercearia","ingredientes","mistura de bolo de chocolate com coco feito com prestigio orquídeas 400g","8.20","mi008"
1380,"mercearia","ingredientes","mistura de bolo de laranja dr oetker 400g","6.50","mi004"
1381,"mercearia","ingredientes","mistura de bolo fleischmann aipim 390g","6.99","mi011"
1382,"mercearia","ingredientes","mistura de bolo fleischmann baunilha 450g","6.99","mi006"
1383,"mercearia","ingredientes","mistura de bolo fleischmann cenoura 390g","7.99","mi009"
1384,"mercearia","ingredientes","mistura de bolo fleischmann limão 390g","6.99","mi023"
1385,"mercearia","ingredientes","mistura de bolo orquídea aipim 400g","6.49","mi010"
1386,"mercearia","ingredientes","mistura de bolo orquídea baunilha 400g","5.59","mi032"
1387,"mercearia","ingredientes","mistura de bolo orquídea cenoura 400g","5.59","mi029"
1388,"mercearia","ingredientes","mistura de bolo orquídea chocolate feito com alpino 400g","8.20","mi037"
1389,"mercearia","ingredientes","mistura de bolo orquídea coco 400g","5.59","mi036"
1390,"mercearia","ingredientes","mistura de bolo orquídea laranja 400g","5.59","mi020"
1391,"mercearia","ingredientes","mistura de bolo orquídea milho cremoso 400g","5.59","mi002"
1392,"mercearia","ingredientes","mistura de bolo orquídea pão de ló 350g","6.49","mi030"
1393,"mercearia","ingredientes","mistura de pão de queijo yoki 250g","12.20","mi031"
1394,"mercearia","ingredientes","mistura para bolo de cenoura com confeitos dr oetker 300g","6.50","mi027"
1395,"mercearia","ingredientes","mistura para bolo de chocolate dr oetker 300g","6.50","mi022"
1396,"mercearia","ingredientes","mistura para bolo de milho dr oetker 400g","6.50","mi021"
1397,"mercearia","ingredientes","mistura para bolo formigueiro dr oetker 400g","6.50","mi016"
1398,"mercearia","grãos e farináceos","mistura para pão integral orquídea 1kg","7.60","mgf008"
1399,"mercearia","arroz e feijão","mistura tio João 7 cereais com soja 500g","10.49","maf021"
1400,"mercearia","biscoito e salgadinhos","mix aperitivo nuts lata 200g","33.90","mbs018"
1401,"pets","aves","mix canário amigo pet 500g","7.99","pa004"
1402,"mercearia","biscoito e salgadinhos","mix de nuts iracema sache 100g","15.50","mbs017"
1403,"mercearia","temperos e condimentos","mix de pimentas com moedor carmencita 40g","41.50","mtc038"
1404,"pets","aves","mix periquito amigo pet 500g","6.95","pa003"
1405,"mercearia","temperos e condimentos","moedor de sal e pimenta calabresa bombay 90g","24.90","mtc004"
1406,"mercearia","temperos e condimentos","molho barbecue kenko 220g","7.95","mtc001"
1407,"mercearia","massas e molhos","molho bolognese barilla 400g","35.90","mmm016"
1408,"mercearia","massas e molhos","molho de alho kitano 150ml","5.99","mmm038"
1409,"hortifruti","temperos frescos","molho de alho sakura kenko 1 litro","22.95","htf006"
1410,"mercearia","temperos e condimentos","molho de alho sakura kenko 1 litro","22.95","mtc031"
1411,"mercearia","temperos e condimentos","molho de pimenta habanero chilli code 10 bombay 60ml","15.90","mtc028"
1412,"mercearia","temperos e condimentos","molho de pimenta tabasco green 60ml","31.90","mtc032"
1413,"mercearia","massas e molhos","molho de tomate fugini zero 340g","3.30","mmm039"
1414,"mercearia","temperos e condimentos","molho madeira bombay 350ml","21.90","mtc027"
1415,"mercearia","massas e molhos","molho napoletana barilla 400g","35.50","mmm031"
1416,"mercearia","massas e molhos","molho paganini bruschetta ai peperoni 170g","22.50","mmm002"
1417,"mercearia","massas e molhos","molho paganini bruschetta al pomodori 170g","22.49","mmm019"
1418,"mercearia","massas e molhos","molho para salada caseiro liza","10.95","mmm017"
1419,"mercearia","massas e molhos","molho para salada ervas finas kenko 266ml","8.60","mmm025"
1420,"mercearia","massas e molhos","molho para salada italiano kenko 236ml","8.60","mmm034"
1421,"mercearia","temperos e condimentos","molho pimenta sriracha bombay 330ml","24.90","mtc025"
1422,"frios e laticínios","derivados de queijo","molho polengui cheddar 220g","14.29","fldq003"
1423,"mercearia","massas e molhos","molho queensberry alho caramelizado com pimenta 310g","24.90","mmm021"
1424,"mercearia","temperos e condimentos","molho sakura kin 250ml","30.49","mtc033"
1425,"mercearia","massas e molhos","molho sakura tare 180ml","9.59","mmm014"
1426,"bebidas","vinhos","montes chardonnay reserva 750ml","159.00","bv043"
1427,"limpeza","casa","mop de pva condor","78.49","lc002"
1428,"limpeza","casa","mop refil noviça sem cabo","24.95","lc024"
1429,"hortifruti","legumes","moranga cabotia cubos mimo 500g","11.50","hl020"
1430,"hortifruti","legumes","moranga porção saudável 500g","9.95","hl038"
1431,"hortifruti","legumes","moranga vermelha inteira 3kg","19.62","hl001"
1432,"hortifruti","frutas","morango granja dani 250g","4.99","hf030"
1433,"pets","cães","mordedor animais caracol pet","9.50","pc054"
1434,"frios e laticínios","frios","mortadela bologna com azeitonas fatiada ceratti 150g","16.80","flf008"
1435,"frios e laticínios","frios","mortadela bologna com pistache ceratti 150g","16.80","flf007"
1436,"frios e laticínios","frios","mortadela de frango excelsior 500g","11.50","flf038"
1437,"frios e laticínios","frios","mortadela fatiada tradicional ceratti 150g","15.90","flf002"
1438,"frios e laticínios","frios","mortadela ouro perdigão 230g","13.43","flf030"
1439,"frios e laticínios","frios","mortadela perdigão ouro defumada 200g","10.50","flf033"
1440,"bebidas","destilados","moscow mule alca drink 275ml","12.99","bd012"
1441,"mercearia","temperos e condimentos","mostarda com curry hemmer 200g","16.29","mtc024"
1442,"mercearia","alimentos especiais","muffin de cacau com castanha-de-caju sem glúten 40g","5.69","mae015"
1443,"limpeza","casa","multi inseticida sbp 300ml","19.95","lc061"
1444,"carnes","bovina","músculo sem osso bovino 500g","19.13","cb012"
1445,"limpeza","casa","naftalina sanilar 50g","3.79","lc060"
1446,"frios e laticínios","lácteos","nata santa clara 200g","8.19","flla008"
1447,"frios e laticínios","leite","nata santa clara 300g","10.90","fll021"
